"Child","Parent"
"S5","S4"
"S4","S3"
"S7","S6"
"S6","S3"
"S9","S8"
"S10","S8"
"S8","S3"
"S3","S2"
"S13","S12"
"S12","S11"
"S11","S2"
"S2","S1"
"S16","S15"
"S17","S15"
"S18","S15"
"S20","S19"
"S21","S19"
"S19","S15"
"S24","S23"
"S23","S22"
"S25","S22"
"S26","S22"
"S22","S15"
"S28","S27"
"S29","S27"
"S30","S27"
"S31","S27"
"S27","S15"
"S15","S14"
"S32","S14"
"S33","S14"
"S14","S1"
"S37","S36"
"S38","S36"
"S39","S36"
"S40","S36"
"S36","S35"
"S42","S41"
"S41","S35"
"S44","S43"
"S45","S43"
"S46","S43"
"S43","S35"
"S35","S34"
"S47","S34"
"S48","S34"
"S49","S34"
"S34","S1"
"S50","S1"
"S1",
